Geburtsjahrgang t,Männer Bestand,Frauen Bestand,Männer B20,Frauen B20,Männer 1. Ordnung,Frauen 1. Ordnung
1900,12,10,9,8,,
1901,12,10,9,8,,
1902,12,10,9,8,,
1903,11,10,9,8,,
1904,11,9,9,8,,
1905,11,9,9,8,,
1906,10,8,9,8,,
1907,10,8,9,8,,
1908,9,7,9,8,,
1909,8,7,9,8,,
1910,8,6,9,8,12,11
1911,7,6,9,8,12,11
1912,7,6,9,8,12,11
1913,6,5,9,8,12,11
1914,5,5,8,7,12,11
1915,5,5,7,7,12,11
1916,4,4,7,6,12,11
1917,4,4,6,6,12,10
1918,3,4,5,5,11,10
1919,3,4,5,5,10,9
1920,3,3,5,5,9,8
1921,3,3,4,4,8,8
1922,3,3,4,4,7,7
1923,2,3,4,4,7,7
1924,2,3,4,4,7,7
1925,2,3,4,4,7,6
1926,2,3,4,4,6,6
1927,2,3,4,4,6,6
1928,2,3,4,4,6,6
1929,2,3,4,4,6,6
1930,2,2,4,4,6,6
1931,2,2,3,3,6,6
1932,2,2,3,3,6,6
1933,2,2,3,3,6,6
1934,2,2,3,3,6,5
1935,2,2,3,3,5,5
1936,2,2,3,3,5,5
1937,2,2,3,3,5,5
1938,2,2,3,2,5,5
1939,2,2,3,2,5,5
1940,1,1,2,2,5,4
1941,1,1,2,2,5,4
1942,1,1,2,2,4,4
1943,1,1,2,2,4,4
1944,1,1,2,1,4,4
1945,1,1,2,1,4,4
1946,1,1,1,1,4,3
1947,1,1,1,1,4,3
1948,0,0,1,1,3,3
1949,0,0,1,1,3,3
1950,0,0,1,0,3,3
1951,0,0,0,0,3,2
1952,0,0,0,0,3,2
1953,0,0,0,0,2,2
1954,0,0,0,0,2,2
1955,0,0,0,0,2,2
1956,-1,-1,-1,-1,2,1
1957,-1,-1,-1,-1,1,1
1958,-1,-1,-1,-1,1,1
1959,-1,-1,-1,-1,1,1
1960,-1,-1,-2,-1,1,1
1961,-1,-1,-2,-2,0,0
1962,-2,-2,-2,-2,0,0
1963,-2,-2,-2,-2,0,0
1964,-2,-2,-2,-2,0,0
1965,-2,-2,-3,-2,0,0
1966,-2,-2,-3,-3,-1,-1
1967,-2,-2,-3,-3,-1,-1
1968,-3,-3,-3,-3,-1,-1
1969,-3,-3,-4,-3,-1,-1
1970,-3,-3,-4,-3,-2,-2
1971,-3,-3,-4,-4,-2,-2
1972,-3,-3,-4,-4,-2,-2
1973,-3,-3,-5,-4,-2,-2
1974,-4,-3,-5,-4,-3,-2
1975,-4,-4,-5,-4,-3,-3
1976,-4,-4,-5,-5,-3,-3
1977,-4,-4,-6,-5,-3,-3
1978,-4,-4,-6,-5,-4,-3
1979,-4,-4,-6,-5,-4,-3
1980,-5,-4,-6,-5,-4,-4
1981,-5,-4,-6,-6,-4,-4
1982,-5,-5,-7,-6,-5,-4
1983,-5,-5,-7,-6,-5,-4
1984,-5,-5,-7,-6,-5,-4
1985,-5,-5,-7,-6,-5,-5
1986,-5,-5,-7,-6,-6,-5
1987,-5,-5,-7,-7,-6,-5
1988,-5,-5,-8,-7,-6,-5
1989,-6,-6,-8,-7,-6,-5
1990,-6,-6,-8,-7,-7,-6
1991,-6,-6,-8,-7,-7,-6
1992,-6,-6,-8,-8,-7,-6
1993,-6,-6,-9,-8,-7,-6
1994,-6,-6,-9,-8,-7,-7
1995,-7,-6,-9,-8,-8,-7
1996,-7,-7,-9,-8,-8,-7
1997,-7,-7,-10,-9,-8,-7
1998,-7,-7,-10,-9,-8,-7
1999,-7,-7,-10,-9,-9,-8
2000,-7,-7,-10,-9,-9,-8
2001,-8,-7,-11,-9,-9,-8
2002,-8,-7,-11,-9,-9,-8
2003,-8,-8,-11,-10,-10,-8
2004,-8,-8,-11,-10,-10,-8
2005,-8,-8,-11,-10,-10,-9
2006,-8,-8,-11,-10,-10,-9
2007,-8,-8,-11,-10,-10,-9
2008,-8,-8,-11,-10,-11,-9
2009,-8,-8,-11,-10,-11,-9
2010,-8,-8,-12,-10,-11,-10
2011,-8,-8,-12,-10,-11,-10
2012,-8,-8,-12,-10,-12,-10
2013,-8,-8,-12,-11,-12,-10
2014,-8,-8,-13,-11,-12,-10
2015,-8,-8,-13,-11,-12,-11
2016,-8,-8,-13,-11,-12,-11
2017,-8,-8,-13,-11,-13,-11
2018,-8,-8,-13,-11,-13,-11
2019,-8,-8,-13,-12,-13,-11
2020,-8,-8,-13,-12,-13,-12
