USA 1971 IAM,,,
,,,
,1971 IAM,,Projection Scale B
Age,Males,Females,
5,0.000456,0.000234,0
6,0.000424,0.000193,0
7,0.000403,0.000162,0
8,0.000392,0.000143,0
9,0.000389,0.000134,0
10,0.00039,0.000132,0.0125
11,0.000397,0.000143,0.0125
12,0.000405,0.000155,0.0125
13,0.000413,0.000167,0.0125
14,0.000422,0.00018,0.0125
15,0.000433,0.000193,0.0125
16,0.000444,0.000205,0.0125
17,0.000457,0.000218,0.0125
18,0.000471,0.000231,0.0125
19,0.000486,0.000245,0.0125
20,0.000503,0.00026,0.0125
21,0.000522,0.000275,0.0125
22,0.000544,0.000292,0.0125
23,0.000566,0.000309,0.0125
24,0.000591,0.000327,0.0125
25,0.000619,0.000347,0.0125
26,0.00065,0.000368,0.0125
27,0.000684,0.00039,0.0125
28,0.000722,0.000414,0.0125
29,0.000763,0.00044,0.0125
30,0.000809,0.000469,0.0125
31,0.00086,0.000499,0.0125
32,0.000916,0.000533,0.0125
33,0.000978,0.000569,0.0125
34,0.001046,0.000608,0.0125
35,0.001122,0.000651,0.0125
36,0.001204,0.000698,0.0125
37,0.001295,0.00075,0.0125
38,0.001397,0.000807,0.0125
39,0.001509,0.000869,0.0125
40,0.001633,0.000938,0.0125
41,0.001789,0.001013,0.0125
42,0.002,0.001094,0.0125
43,0.00226,0.001186,0.0125
44,0.002569,0.001286,0.0125
45,0.002922,0.001397,0.0125
46,0.003318,0.001519,0.0125
47,0.003754,0.001654,0.0125
48,0.004228,0.001802,0.0125
49,0.00474,0.001967,0.0125
50,0.005285,0.002151,0.0125
51,0.00586,0.002371,0.0125
52,0.006461,0.002641,0.0125
53,0.007088,0.002966,0.0125
54,0.00774,0.003351,0.0125
55,0.008417,0.003791,0.0125
56,0.009119,0.004284,0.01245
57,0.00985,0.004826,0.0124
58,0.010613,0.005409,0.01235
59,0.011411,0.006017,0.0123
60,0.012249,0.006628,0.01225
61,0.013133,0.007219,0.0122
62,0.014073,0.007773,0.01215
63,0.015083,0.008285,0.0121
64,0.016185,0.008775,0.01205
65,0.017405,0.00929,0.012
66,0.018767,0.009888,0.0118
67,0.02029,0.010622,0.0116
68,0.021992,0.011536,0.0114
69,0.02389,0.012664,0.0112
70,0.026,0.014029,0.011
71,0.028341,0.015651,0.0107
72,0.030933,0.017548,0.0104
73,0.033801,0.019742,0.0101
74,0.036976,0.022256,0.0098
75,0.040494,0.02512,0.0095
76,0.044393,0.028369,0.0091
77,0.048715,0.03205,0.0087
78,0.0535,0.036225,0.0083
79,0.058787,0.040975,0.0079
80,0.064599,0.046386,0.0075
81,0.070902,0.052513,0.007
82,0.077668,0.059409,0.0065
83,0.084941,0.06716,0.006
84,0.092874,0.075899,0.0055
85,0.101689,0.08577,0.005
86,0.111652,0.096898,0.0045
87,0.123048,0.109338,0.004
88,0.136123,0.122978,0.0035
89,0.15107,0.137508,0.003
90,0.16804,0.152472,0.0025
91,0.187147,0.16737,0.002
92,0.208457,0.181776,0.0015
93,0.231885,0.195386,0.001
94,0.257146,0.208071,0.0005
95,0.283841,0.219896,0
96,0.311565,0.231097,0
97,0.340214,0.242211,0
98,0.369769,0.253823,0
99,0.400194,0.266452,0
100,0.431413,0.280535,0
101,0.463312,0.296449,0
102,0.495756,0.314535,0
103,0.528599,0.335121,0
104,0.561692,0.358537,0
105,0.594884,0.385122,0
106,0.628022,0.415238,0
107,0.660949,0.449274,0
108,0.693503,0.487649,0
109,0.725521,0.530787,0
110,0.756852,0.57904,0
111,0.78739,0.632529,0
112,0.817125,0.690903,0
113,0.846198,0.753081,0
114,0.874915,0.817218,0
115,1,1,0
