USA 1994 GAR,,,,,,
,,,,,,
,1994 GAR Male,,1994 GAR Female,,1994 GAM Basic (unloaded),
Age,qx1994,AAx,qy1994,AAy,Male,Female
1,0.000592,0.02,0.000531,0.02,0.000637,0.000571
2,0.0004,0.02,0.000346,0.02,0.00043,0.000372
3,0.000332,0.02,0.000258,0.02,0.000357,0.000278
4,0.000259,0.02,0.000194,0.02,0.000278,0.000208
5,0.000237,0.02,0.000175,0.02,0.000255,0.000188
6,0.000227,0.02,0.000163,0.02,0.000244,0.000176
7,0.000217,0.02,0.000153,0.02,0.000234,0.000165
8,0.000201,0.02,0.000137,0.02,0.000216,0.000147
9,0.000194,0.02,0.00013,0.02,0.000209,0.00014
10,0.000197,0.02,0.000131,0.02,0.000212,0.000141
11,0.000208,0.02,0.000138,0.02,0.000223,0.000148
12,0.000226,0.02,0.000148,0.02,0.000243,0.000159
13,0.000255,0.02,0.000164,0.02,0.000275,0.000177
14,0.000297,0.019,0.000189,0.018,0.00032,0.000203
15,0.000345,0.019,0.000216,0.016,0.000371,0.000233
16,0.000391,0.019,0.000242,0.015,0.000421,0.000261
17,0.00043,0.019,0.000262,0.014,0.000463,0.000281
18,0.00046,0.019,0.000273,0.014,0.000495,0.000293
19,0.000484,0.019,0.00028,0.015,0.000521,0.000301
20,0.000507,0.019,0.000284,0.016,0.000545,0.000305
21,0.00053,0.018,0.000286,0.017,0.00057,0.000308
22,0.000556,0.017,0.000289,0.017,0.000598,0.000311
23,0.000589,0.015,0.000292,0.016,0.000633,0.000313
24,0.000624,0.013,0.000291,0.015,0.000671,0.000313
25,0.000661,0.01,0.000291,0.014,0.000711,0.000313
26,0.000696,0.006,0.000294,0.012,0.000749,0.000316
27,0.000727,0.005,0.000302,0.012,0.000782,0.000324
28,0.000754,0.005,0.000314,0.012,0.000811,0.000338
29,0.000779,0.005,0.000331,0.012,0.000838,0.000356
30,0.000801,0.005,0.000351,0.01,0.000862,0.000377
31,0.000821,0.005,0.000373,0.008,0.000883,0.000401
32,0.000839,0.005,0.000397,0.008,0.000902,0.000427
33,0.000848,0.005,0.000422,0.009,0.000912,0.000454
34,0.000849,0.005,0.000449,0.01,0.000913,0.000482
35,0.000851,0.005,0.000478,0.011,0.000915,0.000514
36,0.000862,0.005,0.000512,0.012,0.000927,0.00055
37,0.000891,0.005,0.000551,0.013,0.000958,0.000593
38,0.000939,0.006,0.000598,0.014,0.00101,0.000643
39,0.000999,0.007,0.000652,0.015,0.001075,0.000701
40,0.001072,0.008,0.000709,0.015,0.001153,0.000763
41,0.001156,0.009,0.000768,0.015,0.001243,0.000826
42,0.001252,0.01,0.000825,0.015,0.001346,0.000888
43,0.001352,0.011,0.000877,0.015,0.001454,0.000943
44,0.001458,0.012,0.000923,0.015,0.001568,0.000992
45,0.001578,0.013,0.000973,0.016,0.001697,0.001046
46,0.001722,0.014,0.001033,0.017,0.001852,0.001111
47,0.001899,0.015,0.001112,0.018,0.002042,0.001196
48,0.002102,0.016,0.001206,0.018,0.00226,0.001297
49,0.002326,0.017,0.00131,0.018,0.002501,0.001408
50,0.002579,0.018,0.001428,0.017,0.002773,0.001536
51,0.002872,0.019,0.001568,0.016,0.003088,0.001686
52,0.003213,0.02,0.001734,0.014,0.003455,0.001864
53,0.003584,0.02,0.001907,0.012,0.003854,0.002051
54,0.003979,0.02,0.002084,0.01,0.004278,0.002241
55,0.004425,0.019,0.002294,0.008,0.004758,0.002466
56,0.004949,0.018,0.002563,0.006,0.005322,0.002755
57,0.005581,0.017,0.002919,0.005,0.006001,0.003139
58,0.0063,0.016,0.003359,0.005,0.006774,0.003612
59,0.00709,0.016,0.003863,0.005,0.007623,0.004154
60,0.007976,0.016,0.004439,0.005,0.008576,0.004773
61,0.008986,0.015,0.005093,0.005,0.009663,0.005476
62,0.010147,0.015,0.005832,0.005,0.010911,0.006271
63,0.011471,0.014,0.006677,0.005,0.012335,0.007179
64,0.01294,0.014,0.007621,0.005,0.013914,0.008194
65,0.014535,0.014,0.008636,0.005,0.015629,0.009286
66,0.016239,0.013,0.009694,0.005,0.017462,0.010423
67,0.018034,0.013,0.010764,0.005,0.019391,0.011574
68,0.019859,0.014,0.011763,0.005,0.021354,0.012648
69,0.021729,0.014,0.012709,0.005,0.023364,0.013665
70,0.02373,0.015,0.01373,0.005,0.025516,0.014763
71,0.025951,0.015,0.014953,0.006,0.027905,0.016079
72,0.028481,0.015,0.016506,0.006,0.030625,0.017748
73,0.031201,0.015,0.018344,0.007,0.033549,0.019724
74,0.034051,0.015,0.020381,0.007,0.036614,0.021915
75,0.037211,0.014,0.022686,0.008,0.040012,0.024393
76,0.040858,0.014,0.025325,0.008,0.043933,0.027231
77,0.045171,0.013,0.028366,0.007,0.04857,0.030501
78,0.050211,0.012,0.031727,0.007,0.053991,0.034115
79,0.055861,0.011,0.035362,0.007,0.060066,0.038024
80,0.062027,0.01,0.039396,0.007,0.066696,0.042361
81,0.068615,0.009,0.043952,0.007,0.07378,0.04726
82,0.075532,0.008,0.049153,0.007,0.081217,0.052853
83,0.08251,0.008,0.054857,0.007,0.088721,0.058986
84,0.089613,0.007,0.060979,0.007,0.096358,0.065569
85,0.09724,0.007,0.067738,0.006,0.104559,0.072836
86,0.105792,0.007,0.075347,0.005,0.113755,0.081018
87,0.115671,0.006,0.084023,0.004,0.124377,0.090348
88,0.12698,0.005,0.09382,0.004,0.136537,0.100882
89,0.139452,0.005,0.104594,0.003,0.149949,0.112467
90,0.152931,0.004,0.116265,0.003,0.164442,0.125016
91,0.16726,0.004,0.128751,0.003,0.179849,0.138442
92,0.182281,0.003,0.141973,0.003,0.196001,0.15266
93,0.198392,0.003,0.155931,0.002,0.213325,0.167668
94,0.2157,0.003,0.170677,0.002,0.231936,0.183524
95,0.233606,0.002,0.186213,0.002,0.251189,0.200229
96,0.25151,0.002,0.202538,0.002,0.270441,0.217783
97,0.268815,0.002,0.219655,0.001,0.289048,0.236188
98,0.285277,0.001,0.237713,0.001,0.30675,0.255605
99,0.301298,0.001,0.256712,0.001,0.323976,0.276035
100,0.317238,0.001,0.276427,0.001,0.341116,0.297233
101,0.333461,0,0.296629,0,0.35856,0.318956
102,0.35033,0,0.317093,0,0.376699,0.34096
103,0.368542,0,0.338505,0,0.396884,0.364586
104,0.387885,0,0.361016,0,0.418855,0.389996
105,0.407224,0,0.383597,0,0.440585,0.41518
106,0.425599,0,0.405217,0,0.460043,0.438126
107,0.441935,0,0.424846,0,0.4752,0.456824
108,0.457553,0,0.444368,0,0.48567,0.471493
109,0.47315,0,0.464469,0,0.492807,0.483473
110,0.486745,0,0.482325,0,0.497189,0.492436
111,0.496356,0,0.49511,0,0.499394,0.498054
112,0.5,0,0.5,0,0.5,0.5
113,0.5,0,0.5,0,0.5,0.5
114,0.5,0,0.5,0,0.5,0.5
115,0.5,0,0.5,0,0.5,0.5
116,0.5,0,0.5,0,0.5,0.5
117,0.5,0,0.5,0,0.5,0.5
118,0.5,0,0.5,0,0.5,0.5
119,0.5,0,0.5,0,0.5,0.5
120,1,0,1,0,1,1
